ID Cliente,Nome,Paese
101,Mario Rossi,Italia
102,Giulia Bianchi,Italia
103,Luca Verdi,Italia
104,Sara Neri,Italia
105,Francesco Gallo,Italia
106,Laura Fontana,Italia
107,Andrea Marino,Italia
108,Elisa Greco,Italia
109,Marco Conti,Italia
110,Chiara Romano,Italia
111,Giovanni Riva,Svizzera
112,Martina De Luca,Italia
113,Alessandro Serra,Francia
114,Paola Testa,Germania
115,Fabio Moretti,Italia
116,Sofia Rizzi,Italia
117,Matteo Colombo,Italia
118,Isabella Costa,Italia
119,Nicola De Angelis,Italia
120,Valentina Fabbri,Italia
121,Lorenzo Ferri,Italia
122,Alice Marchetti,Francia
123,Emanuele Gatti,Italia
124,Beatrice Sala,Italia
125,Tommaso Villa,Svizzera
126,Camilla Cattaneo,Italia
127,Simone Barbieri,Italia
128,Anna Rinaldi,Italia
129,Giovanni Battaglia,Italia
130,Irene Martelli,Italia
131,Davide Amato,Germania
132,Federica Sartori,Italia
133,Alberto Bianchi,Italia
134,Cristina De Santis,Italia
